2024-11-25 22:50:55,074 - Inicio de prueba del entorno.
2024-11-25 22:50:55,093 - Step: 45, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.28616541]
2024-11-25 22:50:55,094 - Step: 46, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.84515905]
2024-11-25 22:50:55,094 - Step: 47, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.42866673]
2024-11-25 22:50:55,094 - Step: 48, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.35643086]
2024-11-25 22:50:55,095 - Step: 49, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.29462508]
2024-11-25 22:50:55,095 - Step: 50, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.77848433]
2024-11-25 22:50:55,096 - Step: 51, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.49507131]
2024-11-25 22:50:55,096 - Step: 52, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.0375493 ]
2024-11-25 22:50:55,096 - Step: 53, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.73965245]
2024-11-25 22:50:55,097 - Step: 54, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.59494816]
2024-11-25 22:50:55,097 - Step: 55, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.76313263]
2024-11-25 22:50:55,097 - Step: 56, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.92135009]
2024-11-25 22:50:55,098 - Step: 57, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.99153246]
2024-11-25 22:50:55,098 - Step: 58, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.13818465]
2024-11-25 22:50:55,099 - Step: 59, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.84634118]
